City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Camacha,33.0833,-16.3333,60.8,77,40,26.46,PT,1615014440
Chittaurgarh,24.8833,74.6333,96.06,10,0,11.97,IN,1615014441
Iquitos,-3.7481,-73.2472,75.2,94,20,0.69,PE,1615014441
Husavik,66.0449,-17.3389,33.8,93,90,7.72,IS,1615014441
Balkhash,46.844,74.9804,30.2,80,0,13.42,KZ,1615014442
Gusau,12.1628,6.6614,74.88,18,42,16.06,NG,1615014442
Chenôve,47.2932,5.0046,32.0,80,0,9.22,FR,1615014442
Los Llanos de Aridane,28.6585,-17.9182,62.6,67,0,20.71,ES,1615014442
Buncrana,55.1333,-7.45,31.51,95,74,6.67,IE,1615014443
Iquique,-20.2208,-70.1431,69.8,68,0,3.44,CL,1615014443
Belyy Yar,53.6039,91.3903,33.8,51,0,13.42,RU,1615014443
Mitú,1.1983,-70.1733,71.46,97,93,2.39,CO,1615014443
Chervona Sloboda,49.3789,32.1464,25.99,95,3,11.59,UA,1615014444
Torbay,47.6666,-52.7314,30.99,93,90,12.66,CA,1615014444
Bahía Blanca,-38.7196,-62.2724,60.98,53,0,5.06,AR,1615014444
Praia da Vitória,38.7333,-27.0667,57.0,87,20,8.03,PT,1615014445
Rodrigues Alves,-7.738,-72.6509,71.96,96,100,1.9,BR,1615014445
Dęblin,51.5591,21.8483,35.01,51,0,9.73,PL,1615014446
Peniche,39.3558,-9.3811,55.0,87,0,5.46,PT,1615014446
Voyvozh,62.892,54.9635,-2.96,91,100,4.65,RU,1615014446
Bantry,51.6833,-9.45,39.2,70,75,6.91,IE,1615014446
Mporokoso,-9.3727,30.125,69.8,87,100,4.03,ZM,1615014447
Hofn,64.2539,-15.2082,39.56,68,99,4.59,IS,1615014193
Armentières,50.6857,2.8821,30.99,88,62,4.0,FR,1615014447
Sechura,-5.5569,-80.8222,77.27,68,100,5.91,PE,1615014447
Krasnosel'kup,65.7,82.4667,12.09,94,100,1.7,RU,1615014448
Cartagena del Chairá,1.3349,-74.8429,71.56,95,2,1.12,CO,1615014448
Vila Velha,-20.3297,-40.2925,81.0,78,0,10.36,BR,1615014219
Bonthe,7.5264,-12.505,78.04,90,88,4.59,SL,1615014448
Curvelo,-18.7564,-44.4308,68.0,93,100,2.19,BR,1615014449
Tasiilaq,65.6145,-37.6368,24.8,86,90,42.57,GL,1615014449
Kedrovyy,56.1667,91.8167,30.2,59,40,20.13,RU,1615014449
Rochegda,62.8,43.25,1.74,93,100,3.04,RU,1615014449
Yerköy,39.6381,34.4672,49.14,47,100,4.36,TR,1615014450
Souillac,-20.5167,57.5167,86.0,62,40,11.5,MU,1615014450
Tokonou,9.65,-9.7833,74.35,81,88,7.27,GN,1615014450
Ţahţā,26.7693,31.5021,51.8,50,0,6.91,EG,1615014451
Oksovskiy,62.6062,39.8984,6.91,94,32,3.69,RU,1615014451
Innerleithen,55.6193,-3.063,35.01,68,20,1.01,GB,1615014452
Yanam,16.7333,82.2167,89.6,40,0,14.97,IN,1615014452
Örnsköldsvik,63.2909,18.7153,33.8,93,20,14.97,SE,1615014452
Loíza,18.4313,-65.8802,78.8,73,40,7.2,PR,1615014453
Houma,29.5958,-90.7195,60.01,100,90,10.36,US,1615014407
Presidente Médici,-11.1753,-61.9014,71.85,96,100,2.73,BR,1615014453
Coyhaique,-45.5752,-72.0662,46.49,59,9,6.26,CL,1615014453
Dhārchula,29.85,80.5333,76.78,16,0,6.33,IN,1615014454
Gravdal,68.1214,13.5031,23.25,91,100,32.64,NO,1615014454
Takoradze,4.8845,-1.7554,79.61,86,100,9.37,GH,1615014455
Hong Kong,22.2855,114.1577,73.0,89,75,9.84,HK,1615014455
Saint-Joseph,-21.3667,55.6167,87.8,58,0,10.36,RE,1615014455
Mazagão,-0.115,-51.2894,75.2,100,75,3.44,BR,1615014456
Zyryanovsk,49.7386,84.2719,21.24,93,42,0.56,KZ,1615014456
Batangafo,7.3008,18.2833,81.97,16,0,4.27,CF,1615014457
Oistins,13.0667,-59.5333,77.0,69,40,16.11,BB,1615014457
Āreka,7.0667,37.7,75.63,33,100,9.95,ET,1615014457
Semey,50.4111,80.2275,24.8,74,0,15.66,KZ,1615014458
Mānsa,29.9833,75.3833,93.11,10,0,9.31,IN,1615014458
Andenes,69.3143,16.1194,23.0,79,100,25.32,NO,1615014458
Pūranpur,28.5167,80.15,88.74,12,0,8.48,IN,1615014458
Fort Abbas,29.1925,72.8536,93.25,10,0,8.48,PK,1615014459
Bulqizë,41.4917,20.2219,50.0,81,40,6.91,AL,1615014459
Saint-Pierre,-21.3393,55.4781,87.8,58,0,10.36,RE,1615014459
Marzuq,14.4,46.4667,79.65,16,0,13.24,YE,1615014459
Departamento de Maldonado,-34.6667,-54.9167,68.0,68,75,9.22,UY,1615014460
Margate,51.3813,1.3862,39.99,62,99,1.99,GB,1615014460
Huancabamba,-5.2386,-79.4506,59.52,82,100,2.98,PE,1615014460
Yar-Sale,66.8333,70.8333,3.54,93,100,5.55,RU,1615014460
Oriximiná,-1.7656,-55.8661,73.13,95,100,2.89,BR,1615014461
Atar,20.5169,-13.0499,62.2,44,1,12.75,MR,1615014461
Plettenberg Bay,-34.0527,23.3716,75.07,50,0,1.25,ZA,1615014461
Mahébourg,-20.4081,57.7,86.0,62,40,11.5,MU,1615014461
Paamiut,61.994,-49.6678,30.96,88,100,9.22,GL,1615014462
Viedma,-40.8135,-62.9967,62.4,68,0,15.3,AR,1615014462
Pangnirtung,66.1451,-65.7125,3.47,88,100,1.92,CA,1615014462
Kavaratti,10.5669,72.642,82.85,59,1,5.64,IN,1615014462
Malé,4.1748,73.5089,89.6,66,20,11.5,MV,1615014463
Soria,41.6667,-2.6667,34.77,89,0,3.31,ES,1615014463
Opuwo,-18.0607,13.84,78.75,36,0,10.2,NA,1615014463
Kočevje,45.6433,14.8633,33.01,76,0,1.99,SI,1615014463
San Cristobal,7.7669,-72.225,66.34,73,33,1.9,VE,1615014201
Adrar,20.5022,-10.0711,62.51,27,0,11.21,MR,1615014464
Esmeraldas,-19.7625,-44.3139,73.4,78,75,1.63,BR,1615014464
Sisimiut,66.9395,-53.6735,13.87,95,100,11.1,GL,1615014464
Kangaatsiaq,68.3065,-53.4641,7.9,94,100,7.4,GL,1615014465
Thinadhoo,0.5333,72.9333,84.47,60,0,4.61,MV,1615014465
Yenagoa,4.9247,6.2642,80.56,84,100,4.59,NG,1615014465
Bosilegrad,42.5011,22.4724,39.99,66,100,7.85,RS,1615014466
Pisco,-13.7,-76.2167,71.6,88,0,6.91,PE,1615014279
Faya,18.3851,42.4509,69.8,14,0,6.91,SA,1615014466
Onega,63.9061,38.1404,7.09,95,98,3.98,RU,1615014466
Luanda,-8.8368,13.2343,80.6,83,20,3.44,AO,1615014331
Turukhansk,65.8167,87.9833,17.96,97,100,8.63,RU,1615014467
Sargatskoye,55.6101,73.4972,26.87,94,100,22.3,RU,1615014467
Hamilton,39.1834,-84.5333,34.0,55,1,6.91,US,1615014331
Aswān,24.0934,32.907,67.44,31,0,13.27,EG,1615014468
Sūsangerd,31.5608,48.1831,66.2,52,0,9.22,IR,1615014468
Ndélé,8.4109,20.6473,82.18,15,2,11.83,CF,1615014468
Taltal,-25.4,-70.4833,64.54,80,14,1.45,CL,1615014469
Praia,14.9215,-23.5087,69.8,68,0,17.27,CV,1615014469
Kiryat Gat,31.61,34.7642,62.01,51,0,1.99,IL,1615014469
Manakara,-22.1333,48.0167,77.27,86,100,7.0,MG,1615014470
Ostrovnoy,68.0531,39.5131,6.15,93,91,12.91,RU,1615014470
Pokhara,28.2333,83.9833,79.74,16,0,7.45,NP,1615014470
Henties Bay,-22.116,14.2845,69.01,87,32,5.99,NA,1615014471
Zaraysk,54.7653,38.8836,17.01,83,48,6.55,RU,1615014471
Tamale,9.4008,-0.8393,80.38,68,100,8.46,GH,1615014471
Owando,-0.4819,15.8999,75.72,87,100,5.7,CG,1615014472
Sørland,67.667,12.6934,25.5,91,100,36.01,NO,1615014473
Neos Marmaras,40.1,23.7833,57.99,40,71,5.01,GR,1615014473
Nobres,-14.7203,-56.3275,70.47,95,98,1.54,BR,1615014474
Asilah,35.465,-6.0348,59.0,88,75,11.5,MA,1615014474
Harper,4.375,-7.7169,78.33,86,100,4.29,LR,1615014275
Bengkulu,-3.8004,102.2655,82.63,81,97,7.67,ID,1615014218
Taoudenni,22.6783,-3.9836,65.43,25,0,8.99,ML,1615014474
Iqaluit,63.7506,-68.5145,-4.0,77,75,27.63,CA,1615014475
Safaga,26.7292,33.9365,62.6,34,0,9.22,EG,1615014475
Methala,10.2166,76.2166,93.2,43,93,3.44,IN,1615014475
San Francisco,37.7749,-122.4194,51.01,81,90,27.63,US,1615014297
Garissa,-0.4536,39.6401,84.81,46,0,6.71,KE,1615014476
Yārāda,17.65,83.2667,96.8,20,0,10.36,IN,1615014476
Micheweni,-4.9667,39.8333,82.65,68,100,7.72,TZ,1615014476
Orangeburg,33.4918,-80.8557,50.0,43,90,8.05,US,1615014476
Oktyabr'skoye,43.0645,44.7417,48.2,46,0,2.24,RU,1615014477
Bud,39.447,-86.1758,33.01,69,0,4.68,US,1615014477
San Joaquin,37.9333,-121.3011,55.0,58,1,8.05,US,1615014478
Milyutinskaya,48.6279,41.6679,33.3,96,100,10.25,RU,1615014478
Moose Factory,51.2585,-80.6094,6.8,78,90,13.8,CA,1615014478
Mumford,5.2618,-0.759,80.53,84,100,11.25,GH,1615014478
Marfino,55.7028,37.3822,16.0,79,0,4.47,RU,1615014479
Venado Tuerto,-33.7456,-61.9688,57.0,60,0,5.41,AR,1615014479
Sur,22.5667,59.5289,90.95,26,0,7.14,OM,1615014479
Miraflores,19.2167,-98.8083,64.4,36,1,5.75,MX,1615014480
Épinal,48.1833,6.45,26.6,86,0,6.91,FR,1615014240
Vila Franca do Campo,37.7167,-25.4333,51.8,87,20,5.75,PT,1615014480
Zaysan,47.4667,84.8667,25.48,92,0,0.65,KZ,1615014480
Waldheim,51.0667,13.0167,28.0,94,0,7.94,DE,1615014481
Kaithal,29.8,76.3833,91.92,10,0,11.27,IN,1615014481
Sarankhola,22.3082,89.7897,97.02,20,0,14.79,BD,1615014481
Prieska,-29.6641,22.7474,80.6,15,0,10.04,ZA,1615014482
Tarauacá,-8.1614,-70.7656,72.01,96,100,1.3,BR,1615014482
Puerto El Triunfo,13.2833,-88.55,71.6,88,0,1.14,SV,1615014482
Kutum,14.2,24.6667,67.64,21,0,8.93,SD,1615014482
Jashpurnagar,22.9,84.15,89.67,10,0,11.68,IN,1615014373
Gornopravdinsk,60.05,69.9,17.89,96,99,5.59,RU,1615014483
Dingle,10.9995,122.6711,85.08,61,40,14.12,PH,1615014483
Ozinki,51.1786,49.6769,22.86,96,100,4.09,RU,1615014484
Nioro,13.35,-15.75,67.5,32,10,3.85,GM,1615014484
Elizabeth City,36.2946,-76.2511,33.01,80,1,3.44,US,1615014485
Lisala,2.15,21.5167,84.16,45,100,2.06,CD,1615014485
Orsha,54.5153,30.4053,21.2,86,0,7.14,BY,1615014485
Abalak,58.1286,68.5944,15.49,96,100,12.21,RU,1615014485
Bandarbeyla,9.4942,50.8122,80.29,59,85,16.28,SO,1615014486
Isla Mujeres,21.2311,-86.731,77.0,88,40,6.91,MX,1615014486
San Andrés,12.5847,-81.7006,75.2,73,20,4.61,CO,1615014384
Kita,13.0349,-9.4895,73.27,24,100,2.84,ML,1615014486
Moravské Budějovice,49.0521,15.8086,28.0,80,0,11.5,CZ,1615014487
Lipin Bor,60.2622,37.9763,5.9,95,65,4.34,RU,1615014487
Niquelândia,-14.4739,-48.4597,69.22,94,100,2.46,BR,1615014487
Ardahan,41.1087,42.7022,25.18,87,0,2.73,TR,1615014488
Halifax,44.6453,-63.5724,23.0,74,96,12.66,CA,1615014482
Aracati,-4.5617,-37.7697,77.9,85,94,7.56,BR,1615014488
Inhambane,-23.865,35.3833,80.6,78,40,4.61,MZ,1615014489
Ponta Delgada,37.7333,-25.6667,51.8,87,20,5.75,PT,1615014489
Muros,42.7762,-9.0603,48.99,75,9,8.01,ES,1615014489
Bariloche,-41.1456,-71.3082,66.2,59,0,13.8,AR,1615014489
Aksu,41.1231,80.2644,52.47,42,91,8.05,CN,1615014490
Kang,-23.6752,22.7876,80.98,34,11,5.1,BW,1615014490
Constantine,36.365,6.6147,41.0,93,20,2.3,DZ,1615014219
Severnoye,56.3491,78.3619,31.39,98,100,23.67,RU,1615014490
Valkeala,60.9401,26.7979,19.99,86,20,8.05,FI,1615014491
Cabedelo,-6.9811,-34.8339,75.2,100,20,4.61,BR,1615014433
Safi,32.2994,-9.2372,57.09,79,83,7.54,MA,1615014491
Cap Malheureux,-19.9842,57.6142,84.99,69,100,5.99,MU,1615014492
Nurota,40.5614,65.6886,46.4,81,90,2.3,UZ,1615014261
Kozlovka,55.8428,48.2492,15.8,67,0,8.95,RU,1615014493
Muli,2.9167,73.5667,83.14,72,6,10.76,MV,1615014494
Darnah,32.767,22.6367,63.12,41,74,21.3,LY,1615014494
San Pedro de Macorís,18.4616,-69.2972,69.8,94,20,4.61,DO,1615014494
Morondava,-20.2833,44.2833,81.84,75,21,2.15,MG,1615014495
Kapuskasing,49.4169,-82.4331,10.4,56,100,12.66,CA,1615014495
San Luis,-33.295,-66.3356,72.86,45,0,15.39,AR,1615014495
Rio Grande,-32.035,-52.0986,61.0,92,85,10.07,BR,1615014496
Saldanha,-33.0117,17.9442,60.8,94,33,11.5,ZA,1615014496
Les Cayes,18.2,-73.75,71.17,80,0,3.04,HT,1615014496
Grimmen,54.1121,13.0405,30.99,93,75,8.05,DE,1615014496
Bubaque,11.2833,-15.8333,75.34,69,0,9.28,GW,1615014497
Bridlington,54.0831,-0.1919,35.01,85,98,5.48,GB,1615014497
Killybegs,54.6333,-8.45,36.0,81,73,5.99,IE,1615014497
Kurmanayevka,52.5093,52.0675,20.01,96,0,5.64,RU,1615014497
Senanga,-16.1167,23.2667,73.49,64,0,4.9,ZM,1615014498
Chissamba,-12.1667,17.3333,64.4,88,0,2.44,AO,1615014498
Narsaq,60.9167,-46.05,42.8,33,90,16.11,GL,1615014498
Rocha,-34.4833,-54.3333,66.09,76,100,6.15,UY,1615014498
Marabba,12.35,32.1833,83.05,15,0,14.85,SD,1615014499
Ancud,-41.8697,-73.8203,57.0,100,90,9.22,CL,1615014499
Libenge,3.65,18.6333,84.13,26,17,2.71,CD,1615014499
Puerto del Rosario,28.5004,-13.8627,62.6,67,20,9.22,ES,1615014499
Luís Correia,-2.8792,-41.6669,76.37,88,100,9.35,BR,1615014500
Karpathos,35.507,27.2132,60.8,77,40,9.22,GR,1615014500
Volterra,43.4003,10.86,50.0,80,32,5.01,IT,1615014500
Alibag,18.6411,72.8792,89.6,55,0,7.7,IN,1615014501
Nortelândia,-14.4547,-56.8028,69.82,96,99,1.07,BR,1615014501
Tarpon Springs,28.1461,-82.7568,60.01,72,100,4.61,US,1615014501
Tefé,-3.3542,-64.7114,71.92,97,99,1.63,BR,1615014501
Pangody,65.85,74.4859,7.59,95,95,2.44,RU,1615014502
Tocopilla,-22.092,-70.1979,68.85,72,0,2.93,CL,1615014502
Goya,-29.14,-59.2626,65.48,78,0,4.7,AR,1615014502
Port-Gentil,-0.7193,8.7815,78.8,94,40,2.3,GA,1615014503
Duki,30.1541,68.5728,79.83,16,0,10.47,PK,1615014503
Verāval,20.9,70.3667,87.37,35,0,12.59,IN,1615014503
Polyarny,69.1989,33.4478,17.6,86,75,11.18,RU,1615014503
Tarabuco,-19.1667,-64.9167,40.32,100,26,0.27,BO,1615014504
Doha,25.2867,51.5333,73.4,49,0,13.8,QA,1615014441
Guapó,-16.8306,-49.5319,69.8,94,0,2.3,BR,1615014504
Arrondissement de Saint-Quentin,49.8333,3.3333,30.99,80,0,11.5,FR,1615014505
Mananjary,-21.2167,48.3333,76.39,90,98,11.16,MG,1615014505
Mopipi,-21.1833,24.8833,80.28,40,9,11.01,BW,1615014505
Kuvandyk,51.4781,57.3552,27.09,93,7,3.69,RU,1615014505
Paranaíba,-19.6772,-51.1908,69.89,92,99,3.69,BR,1615014506
Florianópolis,-27.6146,-48.5012,73.0,94,20,2.3,BR,1615014506
Purpe,64.4803,76.6897,14.31,95,97,3.85,RU,1615014506
Leshukonskoye,64.8989,45.7622,-5.69,90,86,2.68,RU,1615014507
Goma,-1.6792,29.2228,68.67,75,92,1.92,CD,1615014507
Moyale,3.5167,39.0584,82.65,29,58,20.58,KE,1615014507
Bargarh,21.3333,83.6167,95.4,10,1,8.08,IN,1615014508
Quelimane,-17.8786,36.8883,78.8,100,40,4.61,MZ,1615014508
Jodhpur,26.2867,73.03,95.34,15,0,17.87,IN,1615014508
Salekhard,66.53,66.6019,-0.72,88,72,2.39,RU,1615014509
Beloha,-25.1667,45.05,83.3,63,34,11.12,MG,1615014509
Mallaig,54.2169,-111.3685,30.2,86,100,9.22,CA,1615014509
Maceió,-9.6658,-35.7353,71.6,94,0,4.61,BR,1615014282
Isabela,6.7085,121.9711,87.8,66,75,6.91,PH,1615014510
Riyadh,24.6877,46.7219,64.4,29,0,11.5,SA,1615014421
Kampene,-3.6,26.6667,68.67,98,100,0.54,CD,1615014511
Grahamstown,-33.3042,26.5328,73.99,81,0,8.99,ZA,1615014511
Portree,57.4129,-6.1942,39.0,83,90,13.0,GB,1615014512
Challapata,-18.9,-66.7667,42.31,74,33,5.35,BO,1615014512
Contamana,-7.3333,-75.0167,72.46,96,100,1.21,PE,1615014512
Dwārka,22.2394,68.9678,82.94,49,0,10.18,IN,1615014513
Sumbe,-11.2061,13.8437,78.66,83,100,5.06,AO,1615014513
Novi Pazar,43.1367,20.5122,36.86,80,100,5.5,RS,1615014514
Jumla,29.2747,82.1838,62.71,24,0,6.89,NP,1615014514
Shepsi,44.0361,39.1489,50.99,57,82,19.75,RU,1615014514
St. George's,12.0564,-61.7485,78.8,78,20,19.57,GD,1615014515
Rincon,32.296,-81.2354,53.6,71,1,8.05,US,1615014515
Aripuanã,-9.1667,-60.6333,72.23,94,93,1.03,BR,1615014481
Tonantins,-2.8731,-67.8022,72.3,96,76,1.05,BR,1615014515
Noyabrsk,63.1994,75.4507,16.47,96,90,5.26,RU,1615014516
Chapais,49.7834,-74.8492,6.8,85,90,12.66,CA,1615014516
Klaksvík,62.2266,-6.589,42.8,87,75,12.66,FO,1615014516
Ust-Tsilma,65.441,52.1498,-5.98,89,99,4.32,RU,1615014517
Thompson,55.7435,-97.8558,6.8,85,20,2.3,CA,1615014518
Kayes,14.0,-11.0,75.97,21,7,4.43,ML,1615014518
